Name,Phone,Sex,Age,Username,Kills,Deaths,Wins,Games
Katelin Bradley,3104719677,F,24,Lonelykatelin589,159,206,39,152
Leesa Waters,3235262582,F,30,Loneleesa442,53,443,30,137
Oswaldo Salazar,5626664676,M,30,Dreameroswaldo687,402,210,28,61
Albert Moore,3235695518,F,20,Royalalbert486,430,259,95,75
Kiersten Garner,3239183122,F,32,Dreamerkiersten235,78,329,23,130
Dean Wagner,3237323275,M,22,Galaxy_Dean279,373,434,24,58
Whitney Peterson,7146620344,M,25,Xxxwhitney567,291,292,30,81
Forrest Curtis,5621943061,M,31,Frostforrest247,41,225,100,10
Stuart Gonzales,5622397635,M,25,Stuart226,185,362,97,88
Harrison Freeman,7148842726,M,19,Drharrison958,198,192,68,143
Alla Benson,3103682571,F,18,Xx69Alla655,169,98,55,35
Ara Little,3101729853,F,26,Snobbyara971,123,3,28,104
Jefferson Holt,7148099270,M,28,Jefferson912,172,85,39,160
Alexis Holmes,3238680393,M,26,Galaxy_Alexis846,188,225,38,15
Zaida Morris,9097979009,F,19,Zaida751,38,128,69,84
Brook Cochran,7148482888,F,24,Xxbrook851,103,7,88,101
Isaias Harvey,9098598745,M,34,Isaias601,204,296,69,124
Raelene Gordon,3236223761,F,23,Raelene868,275,24,34,71
Dora Rose,3236012769,F,28,Tierdora842,197,127,84,121
Emilio Stevens,9096287126,M,34,Xxemilio571,472,117,62,101
Susy Greer,7144768250,F,19,Clonesusy84,344,262,6,30
Abdul Hansen,5624635907,M,18,Xx69Abdul138,410,335,48,103
Tyson Jacobs,9092463617,M,21,_Tyson732,352,241,39,147
Ronald Carpenter,5625702731,F,23,Dreamerronald761,425,295,47,96
Lanelle Evans,3102404940,F,28,Gunnerlanelle60,196,106,40,36
Shelby Garrett,3107618496,M,26,Lateanshelby282,209,392,100,146
Ashlyn Cooper,3105393112,F,20,Loneashlyn492,456,179,67,98
Ai Brewer,9096141808,F,26,Ai280,71,240,15,58
Donette Torres,7142279507,F,26,Dankdonette812,225,253,92,32
Fredrick Gregory,3102610016,M,31,Xx420Fredrick600,359,312,12,140
Marta Byrd,9094699339,F,20,Dreamermarta766,0,73,89,58
Cinderella Zimmerman,3231169706,F,22,Killercinderella89,213,78,2,50
Andy Maxwell,5624681679,M,33,Galaxy_Andy52,85,133,49,148
Charita Maxwell,9099084979,F,21,Queencharita416,382,477,87,22
Kam Flowers,3102255287,F,31,Dankkam650,46,421,63,97
Eldridge Myers,7141479581,M,32,Xxeldridge102,56,256,42,65
Sherise Barker,3237912449,F,33,Queensherise584,445,333,63,20
Marleen Fuller,3237224640,F,30,Dankmarleen960,274,255,58,134
Santo Harmon,7145088618,M,22,Santo702,463,296,26,91
